temer;deputados;politicos;aborto;regiao;escolaridade;sexo;idade;freqmissa;impreligiao;renda;protest;policiaprop;publiprop;propina;miliprop;assassinato;confjust;confinst;confsistema;orgulhosist;apoio;orgulhobra;confexercito;confcongresso;confmilitar;confpartido;confpresidente;confcomunic;confeleicao
Neither Good nor Bad (Fair);Poorly;More than half of them;Sim;Região Sudeste;10;Female;60;Once a month;Very Important;7;No, I have not participated;No;No;No;No;Yes;5;7;1;1;5;6;6;2;5;3;3;5;5
Bad;Poorly;Half of them;Nao;Região Sudeste;8;Female;25;Once a week;Very Important;9;No, I have not participated;No;No;No;No;Yes;2;1;3;2;1;1;7;1;2;2;1;3;1
Very Bad;Poorly;More than half of them;Sim;Região Nordeste;17;Male;44;Once a month;Somewhat Important;17;No, I have not participated;No;No;No;No;No;4;4;3;4;4;7;1;3;5;4;1;4;5
Very Bad;Very poorly;All;Sim;Região Sul;11;Female;40;More than once a week;Very Important;NA;No, I have not participated;No;No;No;No;No;1;7;2;1;1;7;5;1;3;1;1;6;1
Bad;Poorly;More than half of them;Sim;Região Sudeste;11;Female;25;Never or almost never;Very Important;9;No, I have not participated;Yes;Yes;No;No;Yes;6;5;2;1;1;5;5;5;2;2;1;5;7
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Norte;17;Female;58;Once or twice a year;Very Important;10;Yes, I have participated;No;No;No;No;Yes;2;4;3;2;4;7;6;3;4;2;5;5;3
Very Bad;Well;All;Nao;Região Centro-Oeste;6;Female;32;Once a week;Very Important;5;No, I have not participated;No;No;No;No;Yes;4;2;1;1;4;7;5;1;7;1;2;6;2
Neither Good nor Bad (Fair);Well;More than half of them;Sim;Região Centro-Oeste;11;Male;76;Once a month;Very Important;NA;No, I have not participated;No;No;Yes;No;Yes;5;3;2;1;1;7;7;1;3;1;4;5;5
Very Bad;Neither well nor poorly;All;Nao;Região Sul;9;Female;26;More than once a week;Very Important;7;No, I have not participated;No;No;No;No;Yes;5;1;2;1;3;1;7;7;7;2;1;5;1
Very Bad;Poorly;All;Nao;Região Nordeste;4;Male;30;Once a week;Very Important;14;No, I have not participated;No;No;No;No;Yes;2;5;1;1;2;7;5;1;6;1;1;4;1
Very Bad;Very poorly;All;Sim;Região Sul;11;Female;38;Never or almost never;Somewhat Important;NA;No, I have not participated;No;No;No;No;No;1;1;2;1;1;3;1;1;1;1;1;3;6
Very Bad;Neither well nor poorly;All;Sim;Região Norte;11;Female;40;Once a week;Very Important;3;No, I have not participated;No;No;No;No;Yes;4;2;2;3;1;7;4;1;1;1;4;7;1
Bad;Neither well nor poorly;All;Nao;Região Centro-Oeste;8;Female;23;Once a week;Very Important;3;No, I have not participated;No;No;No;No;No;2;3;1;1;2;4;3;7;1;1;1;3;1
Very Bad;Very poorly;More than half of them;Nao;Região Sudeste;11;Female;27;More than once a week;Very Important;11;No, I have not participated;No;No;No;No;Yes;3;3;3;1;2;2;4;1;3;1;1;2;1
Neither Good nor Bad (Fair);Neither well nor poorly;All;Nao;Região Nordeste;11;Female;20;Once or twice a year;Somewhat Important;2;No, I have not participated;No;No;Yes;No;Yes;2;6;3;2;3;7;5;4;4;3;2;1;2
Neither Good nor Bad (Fair);Poorly;More than half of them;Sim;Região Nordeste;11;Male;57;Never or almost never;Not Important at All;5;No, I have not participated;No;No;No;No;Yes;4;1;2;2;1;4;5;3;3;2;2;4;4
Very Bad;Very poorly;Half of them;Sim;Região Norte;9;Male;18;Once a week;Very Important;12;No, I have not participated;No;No;No;No;No;1;7;1;1;3;7;7;1;3;1;1;7;1
Neither Good nor Bad (Fair);Neither well nor poorly;Half of them;Nao;Região Centro-Oeste;4;Female;54;Once a week;Very Important;NA;No, I have not participated;No;No;No;No;No;1;5;6;2;3;7;5;2;3;1;1;2;1
Good;Neither well nor poorly;All;Sim;Região Norte;10;Female;63;Never or almost never;Not Important at All;13;No, I have not participated;No;No;No;No;Yes;5;3;2;1;2;6;6;5;5;1;4;7;6
Bad;Neither well nor poorly;Half of them;Nao;Região Norte;16;Female;30;More than once a week;Very Important;7;No, I have not participated;No;No;No;No;No;3;3;2;4;5;5;4;1;1;1;1;4;3
Very Bad;Poorly;More than half of them;Sim;Região Sul;13;Female;35;Once a month;Very Important;6;No, I have not participated;No;No;No;No;No;3;2;1;1;3;7;4;1;4;2;1;4;5
Very Bad;Very poorly;All;Sim;Região Nordeste;11;Female;58;Once a month;Very Important;9;Yes, I have participated;No;No;No;No;Yes;4;2;1;3;2;7;4;1;2;1;1;7;2
Very Bad;Very poorly;More than half of them;Sim;Região Sudeste;12;Female;23;More than once a week;Very Important;16;No, I have not participated;No;No;No;No;Yes;4;6;2;2;1;4;3;2;2;1;2;4;4
Very Bad;Very poorly;More than half of them;Sim;Região Sudeste;1;Male;59;Once or twice a year;Very Important;13;No, I have not participated;No;No;No;No;No;1;1;1;1;1;7;1;1;1;1;1;1;1
Very Bad;Neither well nor poorly;Half of them;Nao;Região Sudeste;2;Female;45;Once a week;Very Important;9;No, I have not participated;No;No;No;No;Yes;1;1;1;1;7;7;1;1;1;7;1;7;1
Bad;Neither well nor poorly;Less than half of them;Nao;Região Sudeste;11;Female;27;Once a week;Very Important;3;No, I have not participated;No;No;No;No;No;7;7;1;7;7;7;1;1;1;1;1;1;7
Very Bad;Very poorly;More than half of them;Nao;Região Sudeste;8;Female;35;Once or twice a year;Not Very Important;2;No, I have not participated;No;No;Yes;No;Yes;2;1;1;1;1;7;1;2;1;1;1;5;1
Very Bad;Poorly;More than half of them;Nao;Região Sudeste;8;Male;18;More than once a week;Very Important;4;No, I have not participated;No;No;No;No;Yes;1;3;1;1;1;4;7;7;1;1;1;5;1
Very Bad;Very poorly;More than half of them;Sim;Região Sul;8;Female;52;Once a month;Somewhat Important;3;No, I have not participated;No;No;No;No;Yes;4;4;1;1;1;7;5;1;3;1;1;4;1
Very Bad;Very poorly;All;Sim;Região Nordeste;8;Female;24;Never or almost never;Very Important;8;No, I have not participated;No;No;No;No;Yes;1;1;1;1;1;5;7;1;6;1;1;4;4
Very Bad;Very poorly;All;Sim;Região Nordeste;9;Male;18;Once a month;Somewhat Important;6;No, I have not participated;Yes;Yes;Yes;Yes;No;1;2;2;1;1;3;5;2;2;1;1;1;2
Very Bad;Very poorly;More than half of them;Sim;Região Norte;17;Female;36;Once a week;Very Important;9;No, I have not participated;No;No;No;No;Yes;2;1;1;1;7;7;7;1;3;1;1;7;1
Neither Good nor Bad (Fair);Very poorly;All;Nao;Região Sul;7;Female;60;More than once a week;Very Important;3;No, I have not participated;No;No;No;No;No;6;6;4;4;3;7;7;4;7;3;1;5;4
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Nordeste;5;Male;38;Once a month;Very Important;NA;No, I have not participated;No;No;No;No;Yes;4;6;3;4;6;7;5;4;4;4;4;4;4
Neither Good nor Bad (Fair);Poorly;All;Sim;Região Centro-Oeste;11;Male;19;Once a week;Very Important;15;No, I have not participated;No;No;No;No;Yes;4;3;3;1;4;6;7;3;4;1;1;3;3
Neither Good nor Bad (Fair);Well;More than half of them;Nao;Região Sul;10;Female;16;More than once a week;Very Important;13;No, I have not participated;No;No;No;No;Yes;4;7;5;6;6;7;5;5;4;3;4;7;6
Neither Good nor Bad (Fair);Poorly;All;Nao;Região Nordeste;5;Male;30;Once a week;Very Important;4;No, I have not participated;Yes;Yes;No;Yes;Yes;1;1;3;1;1;1;2;4;1;1;7;6;2
Very Bad;Neither well nor poorly;Less than half of them;Nao;Região Sudeste;9;Female;48;Once a week;Very Important;5;No, I have not participated;No;No;No;No;Yes;4;1;3;1;2;7;5;1;7;1;1;7;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Sudeste;17;Male;36;Once a month;Very Important;3;Yes, I have participated;No;No;No;No;No;7;1;4;5;7;7;7;4;7;4;7;7;7
Bad;Poorly;More than half of them;Nao;Região Norte;11;Male;30;Once a week;Very Important;11;Yes, I have participated;Yes;No;No;Yes;Yes;3;1;1;1;1;3;6;1;4;1;1;2;1
Neither Good nor Bad (Fair);Neither well nor poorly;All;Sim;Região Nordeste;11;Female;21;More than once a week;Very Important;4;No, I have not participated;No;No;No;No;Yes;3;3;3;3;3;6;5;3;4;1;3;5;5
Very Bad;Neither well nor poorly;All;Sim;Região Nordeste;2;Male;37;More than once a week;Very Important;16;No, I have not participated;No;No;No;No;Yes;1;1;1;1;7;7;1;1;1;1;1;1;1
Good;Neither well nor poorly;All;Sim;Região Sul;10;Male;60;More than once a week;Very Important;5;No, I have not participated;No;No;No;No;No;5;5;6;5;5;7;7;5;7;4;4;7;6
Very Bad;Neither well nor poorly;More than half of them;Sim;Região Sul;9;Female;26;Once a month;Very Important;NA;No, I have not participated;No;No;No;No;Yes;4;7;1;5;5;7;6;NA;6;2;3;3;2
Good;Well;Less than half of them;Sim;Região Sul;13;Male;56;Once a week;Very Important;13;No, I have not participated;No;No;No;No;Yes;7;4;4;4;4;7;7;6;6;5;7;6;7
Good;Neither well nor poorly;More than half of them;Sim;Região Sul;8;Male;32;Once or twice a year;Very Important;4;No, I have not participated;Yes;No;Yes;No;Yes;5;7;1;1;7;7;7;4;1;4;7;7;7
Very Bad;Very poorly;More than half of them;Sim;Região Sudeste;11;Female;55;Once a month;Very Important;10;Yes, I have participated;No;No;No;No;No;1;1;1;1;1;7;7;1;7;1;1;3;1
Very Bad;Neither well nor poorly;All;Nao;Região Nordeste;9;Female;33;Once a week;Very Important;12;No, I have not participated;No;No;No;No;Yes;5;4;1;2;3;7;4;1;2;1;1;3;1
Bad;Neither well nor poorly;All;Sim;Região Centro-Oeste;11;Male;40;Once or twice a year;Very Important;6;No, I have not participated;Yes;Yes;No;Yes;Yes;1;1;1;1;1;3;2;1;1;1;1;2;1
Good;Neither well nor poorly;More than half of them;Sim;Região Norte;9;Male;18;Once or twice a year;Very Important;6;Yes, I have participated;No;No;Yes;No;Yes;4;5;4;4;3;7;5;4;5;3;4;2;2
Neither Good nor Bad (Fair);Neither well nor poorly;All;Sim;Região Sudeste;8;Female;21;More than once a week;Very Important;2;Yes, I have participated;No;No;No;No;Yes;7;7;1;1;7;7;5;6;6;7;7;5;5
Very Bad;Neither well nor poorly;More than half of them;Sim;Região Nordeste;3;Female;24;More than once a week;Very Important;3;No, I have not participated;No;No;No;No;No;4;7;1;2;1;7;3;5;5;1;1;7;1
Bad;Poorly;All;Sim;Região Sudeste;10;Female;59;Never or almost never;Not Very Important;15;No, I have not participated;No;No;No;No;No;3;2;2;1;3;3;5;2;5;3;3;6;2
Very Bad;Very poorly;All;Sim;Região Nordeste;2;Female;57;Once a month;Very Important;3;No, I have not participated;No;No;No;No;Yes;2;1;1;1;2;7;7;1;3;1;1;4;1
Very Bad;Very poorly;All;Nao;Região Centro-Oeste;11;Female;45;More than once a week;Very Important;3;No, I have not participated;No;No;No;No;Yes;1;7;1;1;1;1;7;1;7;1;1;4;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Sudeste;9;Male;46;Never or almost never;Somewhat Important;10;No, I have not participated;No;No;No;No;Yes;3;4;2;1;1;4;6;2;5;1;1;5;4
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Nao;Região Sudeste;11;Male;19;Once a month;Very Important;NA;No, I have not participated;No;No;No;No;Yes;3;2;2;2;5;7;5;4;5;3;1;3;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Sul;5;Male;40;More than once a week;Very Important;5;No, I have not participated;No;No;No;No;No;4;7;7;5;5;7;7;5;4;1;1;5;1
Neither Good nor Bad (Fair);Poorly;More than half of them;Nao;Região Sudeste;9;Female;25;Once or twice a year;Very Important;3;No, I have not participated;No;No;No;No;Yes;4;5;3;3;2;7;7;5;7;4;4;5;4
Neither Good nor Bad (Fair);Very poorly;More than half of them;Sim;Região Sul;9;Male;17;Once a week;Very Important;7;Yes, I have participated;No;No;No;No;Yes;4;3;3;1;1;3;4;4;3;2;2;6;3
Neither Good nor Bad (Fair);Poorly;More than half of them;Nao;Região Centro-Oeste;11;Male;25;Once a month;Very Important;15;No, I have not participated;No;No;No;No;Yes;3;6;3;1;1;7;4;2;1;1;2;4;1
Very Bad;Very poorly;More than half of them;Nao;Região Sul;10;Male;16;Once a month;Very Important;7;No, I have not participated;No;No;No;No;Yes;2;3;1;1;1;7;6;5;5;1;6;7;7
Very Bad;Poorly;More than half of them;Nao;Região Centro-Oeste;11;Female;19;Never or almost never;Very Important;11;No, I have not participated;No;No;No;No;Yes;2;6;1;1;3;6;7;1;1;1;1;4;1
Bad;Poorly;All;Sim;Região Sudeste;10;Male;48;Once a month;Not Very Important;3;No, I have not participated;No;No;No;No;Yes;2;1;2;1;1;1;1;1;2;1;1;3;2
Neither Good nor Bad (Fair);Poorly;More than half of them;Sim;Região Sudeste;11;Male;22;Never or almost never;Not Important at All;NA;No, I have not participated;No;No;No;No;Yes;5;5;3;2;4;5;5;4;3;2;5;5;3
Very Bad;Poorly;More than half of them;Sim;Região Centro-Oeste;15;Male;23;Once or twice a year;Very Important;13;No, I have not participated;No;No;No;No;No;4;5;4;3;3;6;6;2;5;3;1;6;2
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Nao;Região Sudeste;8;Male;47;More than once a week;Very Important;10;No, I have not participated;No;No;No;No;No;2;5;2;2;4;7;NA;3;3;2;3;3;3
Very Bad;Very poorly;More than half of them;Sim;Região Sudeste;11;Female;43;Once a week;Very Important;13;No, I have not participated;Yes;No;Yes;No;Yes;1;4;3;1;5;7;7;1;3;1;1;1;1
Neither Good nor Bad (Fair);Very poorly;More than half of them;Sim;Região Sudeste;11;Male;58;Once a week;Very Important;15;No, I have not participated;No;No;No;No;Yes;4;2;2;1;1;4;4;2;3;1;1;3;2
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Nordeste;11;Female;33;Once or twice a year;Very Important;3;No, I have not participated;No;No;No;No;No;2;5;3;3;3;4;5;4;5;3;2;2;3
Very Bad;Neither well nor poorly;More than half of them;Sim;Região Norte;8;Female;49;More than once a week;Very Important;5;No, I have not participated;No;No;No;No;Yes;4;5;3;2;5;7;5;4;6;3;4;6;4
Very Bad;Very poorly;All;Sim;Região Sudeste;8;Female;37;Once or twice a year;Not Very Important;6;No, I have not participated;No;No;No;No;Yes;1;2;1;1;1;4;3;1;3;1;1;4;2
Bad;Neither well nor poorly;More than half of them;Sim;Região Nordeste;11;Male;17;Once a week;Very Important;5;No, I have not participated;No;No;No;No;No;3;4;4;3;4;5;6;4;5;3;4;6;4
Good;Poorly;Half of them;Sim;Região Sul;11;Male;62;Once or twice a year;Somewhat Important;3;No, I have not participated;No;No;No;No;Yes;6;2;3;4;1;7;5;2;4;2;4;5;4
Very Bad;Very poorly;All;Sim;Região Centro-Oeste;5;Female;30;Once a week;Not Very Important;4;No, I have not participated;No;No;No;No;No;1;5;3;2;5;7;5;2;1;1;1;1;1
Neither Good nor Bad (Fair);Poorly;More than half of them;Nao;Região Sul;11;Male;54;Never or almost never;Somewhat Important;17;No, I have not participated;No;No;No;No;No;3;4;4;3;3;7;6;2;5;3;1;2;4
Neither Good nor Bad (Fair);Poorly;More than half of them;Nao;Região Centro-Oeste;5;Female;43;Never or almost never;Very Important;3;No, I have not participated;No;No;No;No;Yes;1;4;3;2;1;7;6;3;6;1;1;5;2
Very Bad;Neither well nor poorly;All;Sim;Região Nordeste;8;Female;26;Never or almost never;Very Important;2;No, I have not participated;No;No;No;No;Yes;1;3;1;4;6;4;6;5;4;1;7;6;3
Very Bad;Very poorly;All;Nao;Região Sul;3;Female;46;Once a week;Very Important;2;No, I have not participated;No;No;No;No;No;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bad;Poorly;More than half of them;Nao;Região Sudeste;11;Female;57;More than once a week;Very Important;8;No, I have not participated;No;No;No;No;No;3;1;1;1;1;7;7;1;7;1;1;3;1
Neither Good nor Bad (Fair);Neither well nor poorly;All;Nao;Região Norte;11;Female;22;Never or almost never;Very Important;3;No, I have not participated;No;No;Yes;No;Yes;5;6;4;2;4;5;5;5;6;3;5;6;4
Bad;Neither well nor poorly;More than half of them;Sim;Região Sudeste;10;Male;16;More than once a week;Somewhat Important;7;Yes, I have participated;No;No;No;No;Yes;5;5;5;4;6;6;5;5;6;4;4;6;6
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Nao;Região Sudeste;11;Female;24;Once a week;Very Important;12;No, I have not participated;No;No;No;No;Yes;4;5;3;2;2;4;5;3;3;1;1;3;1
Neither Good nor Bad (Fair);Neither well nor poorly;None;Nao;Região Sudeste;9;Male;31;Once a month;Somewhat Important;5;No, I have not participated;No;No;No;No;No;4;2;2;6;5;7;4;4;4;3;5;5;4
Neither Good nor Bad (Fair);Neither well nor poorly;All;Nao;Região Sudeste;9;Female;29;Once a week;Very Important;3;No, I have not participated;No;No;No;No;No;6;7;3;2;NA;7;5;2;6;1;5;6;1
Very Bad;Very poorly;Half of them;Nao;Região Sul;8;Male;18;Never or almost never;Very Important;15;No, I have not participated;No;No;No;No;Yes;4;7;7;4;1;7;4;4;4;1;1;4;4
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Nao;Região Sudeste;5;Male;24;More than once a week;Very Important;4;No, I have not participated;No;No;No;No;Yes;2;3;1;2;2;7;6;1;2;1;1;2;3
Bad;Neither well nor poorly;More than half of them;Sim;Região Nordeste;4;Female;41;Once a week;Very Important;4;No, I have not participated;No;No;No;No;Yes;4;6;3;2;5;6;5;3;6;2;1;6;5
Very Bad;Very poorly;All;Sim;Região Norte;11;Male;41;Never or almost never;Somewhat Important;5;No, I have not participated;No;No;No;No;Yes;5;1;1;1;3;3;3;1;1;1;1;3;3
Very Bad;Well;More than half of them;Sim;Região Sul;5;Female;21;Once a month;Very Important;6;No, I have not participated;No;No;No;No;Yes;3;7;3;1;3;7;7;3;1;1;1;6;5
Neither Good nor Bad (Fair);Well;More than half of them;Nao;Região Sul;14;Female;39;Never or almost never;Not Important at All;15;Yes, I have participated;No;No;No;No;Yes;3;5;2;1;7;4;3;3;3;1;3;7;4
Very Bad;Very poorly;More than half of them;Nao;Região Centro-Oeste;8;Male;47;Once or twice a year;Very Important;15;No, I have not participated;No;No;No;No;Yes;3;3;3;2;4;6;6;3;4;3;2;4;3
Bad;Very poorly;All;Nao;Região Sudeste;17;Female;40;More than once a week;Very Important;7;No, I have not participated;No;No;No;No;Yes;4;1;2;1;1;3;5;2;3;1;1;4;1
Neither Good nor Bad (Fair);Neither well nor poorly;All;Sim;Região Sudeste;11;Female;21;Once a week;Very Important;7;No, I have not participated;No;No;No;No;Yes;4;6;4;2;4;4;3;3;3;3;1;4;3
Bad;Well;Less than half of them;Sim;Região Sudeste;2;Female;33;Once a week;Very Important;6;Yes, I have participated;No;Yes;No;No;Yes;1;4;3;3;4;7;4;4;4;6;4;4;4
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Centro-Oeste;7;Male;47;Once or twice a year;Somewhat Important;7;No, I have not participated;No;No;No;No;Yes;3;2;2;2;1;7;7;3;3;1;1;5;3
Neither Good nor Bad (Fair);Very poorly;All;Sim;Região Centro-Oeste;4;Male;51;Once a week;Very Important;9;No, I have not participated;No;No;No;No;Yes;5;2;6;3;1;7;5;2;2;5;2;3;7
Very Bad;Neither well nor poorly;All;Sim;Região Sudeste;0;Female;72;Once a week;Very Important;3;No, I have not participated;No;No;No;No;Yes;3;7;2;3;7;2;4;5;1;2;5;7;3
Neither Good nor Bad (Fair);Neither well nor poorly;All;Sim;Região Sudeste;10;Female;45;Never or almost never;Somewhat Important;7;No, I have not participated;No;No;No;No;No;5;2;1;1;1;7;5;2;4;1;1;7;1
Good;Well;All;Nao;Região Sudeste;7;Male;36;Once a week;Very Important;5;No, I have not participated;No;No;No;No;Yes;5;5;5;5;6;2;3;3;2;3;5;2;5
Neither Good nor Bad (Fair);Neither well nor poorly;Half of them;Nao;Região Sudeste;10;Female;24;Once a month;Very Important;6;No, I have not participated;No;No;Yes;No;Yes;4;4;3;4;4;5;5;4;4;5;5;6;4
Very Bad;Very poorly;All;Nao;Região Sul;5;Female;44;Once a week;Very Important;11;No, I have not participated;Yes;No;No;No;Yes;1;1;1;1;1;5;5;1;5;1;1;2;1
Good;Well;All;Nao;Região Sudeste;5;Male;29;Never or almost never;Very Important;3;No, I have not participated;No;No;No;No;No;1;3;5;7;4;7;5;6;4;2;1;7;4
Neither Good nor Bad (Fair);Very poorly;More than half of them;Nao;Região Nordeste;12;Male;52;Once or twice a year;Very Important;17;Yes, I have participated;Yes;Yes;Yes;Yes;Yes;1;1;1;1;1;1;5;1;1;1;3;4;1
Good;Neither well nor poorly;More than half of them;Sim;Região Norte;11;Male;35;Once a week;Very Important;3;No, I have not participated;No;No;Yes;No;Yes;4;5;2;3;4;6;6;2;2;1;3;2;4
Bad;Poorly;More than half of them;Sim;Região Nordeste;10;Male;30;Once a week;Very Important;7;No, I have not participated;No;No;Yes;No;Yes;3;1;1;1;1;4;6;2;5;2;1;4;3
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Nordeste;11;Male;45;Once a month;Very Important;9;Yes, I have participated;Yes;Yes;Yes;No;No;5;5;2;2;3;6;5;4;4;3;3;5;6
Very Bad;Poorly;More than half of them;Sim;Região Sul;11;Female;19;Never or almost never;Not Very Important;13;Yes, I have participated;No;No;No;No;No;4;5;4;3;3;5;4;3;5;2;1;2;4
Neither Good nor Bad (Fair);Poorly;All;Nao;Região Centro-Oeste;11;Female;33;More than once a week;Very Important;4;No, I have not participated;No;No;No;No;No;2;4;1;2;1;6;6;3;3;1;2;3;2
Very Good;Neither well nor poorly;More than half of them;Sim;Região Nordeste;10;Male;44;Once a month;Very Important;6;No, I have not participated;No;No;No;No;Yes;5;4;5;3;4;7;7;5;7;5;4;7;7
Very Bad;Neither well nor poorly;More than half of them;Sim;Região Sudeste;4;Male;45;Once a week;Very Important;2;No, I have not participated;No;No;No;No;Yes;5;4;3;2;1;6;4;3;5;1;1;6;4
Good;Well;Half of them;Sim;Região Norte;8;Female;43;More than once a week;Very Important;2;No, I have not participated;No;No;No;No;Yes;7;6;5;4;5;6;7;5;6;5;5;6;5
Neither Good nor Bad (Fair);Neither well nor poorly;All;Sim;Região Sudeste;6;Female;52;More than once a week;Very Important;11;No, I have not participated;No;No;No;No;Yes;2;3;4;1;2;7;4;1;4;1;4;7;1
Bad;Poorly;More than half of them;Sim;Região Norte;11;Male;18;Once a week;Very Important;12;No, I have not participated;No;No;No;No;No;7;5;6;3;2;7;7;4;7;3;1;4;3
Very Bad;Neither well nor poorly;All;Sim;Região Nordeste;5;Female;40;More than once a week;Very Important;3;No, I have not participated;No;No;No;No;No;3;4;1;1;1;7;7;1;3;1;7;7;3
Very Bad;Very poorly;All;Sim;Região Centro-Oeste;4;Male;55;Once or twice a year;Very Important;6;No, I have not participated;No;No;No;No;No;1;3;2;4;5;7;6;3;5;2;1;7;6
Neither Good nor Bad (Fair);Poorly;All;Sim;Região Sul;8;Female;23;Never or almost never;Very Important;5;No, I have not participated;No;No;No;No;No;1;6;2;1;1;7;3;2;1;1;1;2;1
Very Bad;Very poorly;All;Sim;Região Sul;11;Male;37;Never or almost never;Not Very Important;9;No, I have not participated;No;Yes;Yes;No;Yes;1;6;1;1;3;7;7;4;5;2;1;5;1
Neither Good nor Bad (Fair);Neither well nor poorly;Less than half of them;Nao;Região Centro-Oeste;6;Female;36;Once a month;Very Important;13;No, I have not participated;No;No;No;No;No;1;1;1;1;1;7;6;1;6;1;5;6;1
Very Good;Very poorly;All;Nao;Região Centro-Oeste;2;Female;47;More than once a week;Very Important;12;No, I have not participated;No;No;No;No;Yes;1;1;1;1;1;7;3;1;5;1;5;1;1
Very Bad;Very poorly;All;Sim;Região Nordeste;0;Female;54;Never or almost never;Very Important;2;No, I have not participated;No;No;Yes;No;Yes;3;1;1;1;1;7;4;1;7;1;1;1;1
Very Bad;Neither well nor poorly;All;Nao;Região Norte;8;Female;36;More than once a week;Very Important;2;No, I have not participated;No;No;No;No;Yes;6;4;4;3;5;7;7;5;5;3;2;7;2
Very Bad;Very poorly;More than half of them;Nao;Região Norte;11;Male;19;Once a week;Very Important;3;Yes, I have participated;Yes;No;No;Yes;Yes;1;1;3;1;5;7;1;3;2;1;1;6;2
Bad;Poorly;More than half of them;Nao;Região Sudeste;3;Male;63;Never or almost never;Very Important;5;No, I have not participated;No;No;No;No;Yes;3;3;6;2;2;7;6;2;2;2;2;5;3
Very Good;Well;Half of them;Sim;Região Nordeste;9;Female;37;Once a week;Very Important;2;No, I have not participated;No;No;Yes;No;Yes;7;7;7;7;7;7;7;7;7;7;7;7;7
Neither Good nor Bad (Fair);Neither well nor poorly;All;Nao;Região Norte;8;Male;50;Once a week;Very Important;1;No, I have not participated;No;No;No;No;Yes;1;1;1;1;1;7;7;1;2;1;1;4;1
Neither Good nor Bad (Fair);Poorly;More than half of them;Sim;Região Sul;17;Male;26;Once or twice a year;Somewhat Important;13;No, I have not participated;No;No;No;No;No;3;2;2;3;1;5;6;2;3;1;2;6;3
Neither Good nor Bad (Fair);Very poorly;Half of them;Sim;Região Norte;11;Male;32;Once a week;Very Important;5;No, I have not participated;No;No;No;No;Yes;5;6;5;4;5;7;7;4;4;2;4;6;4
Bad;Poorly;More than half of them;Nao;Região Centro-Oeste;14;Female;37;More than once a week;Very Important;7;No, I have not participated;No;No;No;No;Yes;5;4;1;3;1;5;5;2;4;1;1;5;5
Very Bad;Neither well nor poorly;All;Nao;Região Sudeste;11;Male;37;Once a week;Very Important;5;No, I have not participated;No;No;No;No;No;4;2;3;1;1;7;3;2;4;1;2;3;1
Very Bad;Poorly;More than half of them;Sim;Região Nordeste;11;Female;29;More than once a week;Very Important;14;No, I have not participated;No;No;No;No;Yes;4;5;5;1;1;3;6;1;6;1;1;6;2
Good;Well;Half of them;Nao;Região Sudeste;10;Female;17;Once a month;Somewhat Important;2;No, I have not participated;Yes;No;No;No;No;1;5;4;2;5;7;7;6;6;5;6;6;5
Very Bad;Very poorly;More than half of them;Nao;Região Sul;4;Female;25;More than once a week;Very Important;4;No, I have not participated;No;No;No;No;No;3;5;6;7;7;7;7;6;6;5;5;6;6
Very Bad;Neither well nor poorly;More than half of them;Sim;Região Sudeste;17;Male;33;Once or twice a year;Somewhat Important;13;No, I have not participated;No;No;No;No;Yes;4;5;3;2;1;6;2;2;3;3;1;1;5
Very Bad;Very poorly;More than half of them;Sim;Região Sul;8;Male;33;More than once a week;Very Important;13;No, I have not participated;No;No;No;No;No;3;2;2;2;1;5;7;4;3;2;1;5;1
Very Bad;Neither well nor poorly;All;Nao;Região Sudeste;6;Female;65;Never or almost never;Very Important;3;No, I have not participated;No;No;No;No;No;1;7;1;1;6;7;7;1;1;1;1;4;1
Bad;Very poorly;More than half of them;Nao;Região Sul;1;Female;54;More than once a week;Very Important;NA;No, I have not participated;No;No;No;No;No;5;1;1;1;1;7;7;1;7;1;1;6;5
Neither Good nor Bad (Fair);Well;More than half of them;Nao;Região Centro-Oeste;8;Female;43;Never or almost never;Not Important at All;3;No, I have not participated;No;No;No;No;No;7;7;7;4;5;7;7;7;7;5;7;7;7
Very Bad;Very poorly;More than half of them;Sim;Região Sudeste;10;Male;28;Once a month;Very Important;15;No, I have not participated;No;No;No;No;No;3;4;5;2;4;7;5;6;3;2;1;6;4
Very Bad;Very poorly;All;Sim;Região Centro-Oeste;11;Female;44;Once a week;Very Important;3;No, I have not participated;No;No;No;No;Yes;1;5;1;1;1;6;1;1;1;1;1;1;1
